"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","By track orders","1","0","Заказ по треку: без параметра t","0"
"0","","0","Delete courier","1","0","Удаление: отсутствует id","0"
"0","","0","Cancel orders","1","0","Отменить заказ: без параметра track","0"
"0","","0","Accept orders","1","0","Принять заказ: несуществующий заказ","0"
"0","","0","Cancel orders","1","0","Отменить заказ: успешная отмена","0"
"0","","0","Create orders","0","7","Создание заказа: без обязательных полей","0"
"0","","0","Login courier","1","0","Авторизация: успешный вход","0"
"0","","0","Accept orders","0","1","Принять заказ: нет order_id в URL","0"
"0","","0","Create orders","4","0","Создание заказа: разные цвета","0"
"0","","0","Login courier","1","0","Авторизация: неверный пароль","0"
"0","","0","Delete courier","1","0","Удаление: успешное удаление","0"
"0","","0","Accept orders","1","0","Принять заказ: нет courierId","0"
"0","","0","Courier","1","0","Создание курьера: все данные","0"
"0","","0","Courier","1","0","Создание курьера: отсутствует логин","0"
"0","","0","Login courier","0","1","Авторизация: отсутствует пароль","0"
"0","","0","Login courier","1","0","Авторизация: отсутствует логин","0"
"0","","0","List orders","1","0","Список заказов: пагинация работает","0"
"0","","0","Courier","1","0","Создание курьера: отсутствует имя","0"
"0","","0","Courier","1","0","Создание курьера: отсутствует пароль","0"
"0","","0","Login courier","1","0","Авторизация: несуществующий пользователь","0"
"0","","0","List orders","1","0","Список заказов: структура ответа","0"
"0","","0","List orders","1","0","Список заказов: возвращается список","0"
"0","","0","Accept orders","1","0","Принять заказ: несуществующий курьер","0"
"0","","0","Delete courier","1","0","Удаление: несуществующий id","0"
"0","","0","Delete courier","1","0","Удаление: проверка через авторизацию","0"
"0","","0","Courier","1","0","Создание курьера: дубликат логина","0"
"0","","0","Cancel orders","1","0","Отменить заказ: несуществующий трек","0"
"0","","0","Accept orders","1","0","Принять заказ: успешное принятие","0"
"0","","0","By track orders","1","0","Заказ по треку: найден","0"
"0","","0","Create orders","1","0","Создание заказа: наличие track в ответе","0"
"0","","0","By track orders","1","0","Заказ по треку: несуществующий трек","0"
