"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","440","Запрос без параметра t","tests","2026-03-06","passed","2026-03-06","TestOrderByTrack","test_orders","",""
"","431","Удаление без id","tests","2026-03-06","passed","2026-03-06","TestCourierDelete","test_courier","",""
"","412","Отмена без track","tests","2026-03-06","passed","2026-03-06","TestOrderCancel","test_orders","",""
"","486","Принятие несуществующего заказа","tests","2026-03-06","passed","2026-03-06","TestOrderAccept","test_orders","",""
"","552","Успешная отмена заказа","tests","2026-03-06","passed","2026-03-06","TestOrderCancel","test_orders","",""
"","445","Создание без обязательных полей","tests","2026-03-06","skipped","2026-03-06","TestOrderCreate","test_orders","",""
"","457","Успешный вход","tests","2026-03-06","passed","2026-03-06","TestCourierLogin","test_courier","",""
"","454","Принятие без order_id","tests","2026-03-06","skipped","2026-03-06","TestOrderAccept","test_orders","",""
"","485","Создание без обязательных полей","tests","2026-03-06","skipped","2026-03-06","TestOrderCreate","test_orders","",""
"","1","Создание заказа с разными цветами","tests","2026-03-06","passed","2026-03-06","TestOrderCreate","test_orders","",""
"","562","Неверный пароль","tests","2026-03-06","passed","2026-03-06","TestCourierLogin","test_courier","",""
"","450","Создание без обязательных полей","tests","2026-03-06","skipped","2026-03-06","TestOrderCreate","test_orders","",""
"","433","Успешное удаление","tests","2026-03-06","passed","2026-03-06","TestCourierDelete","test_courier","",""
"","449","Принятие без courierId","tests","2026-03-06","passed","2026-03-06","TestOrderAccept","test_orders","",""
"","1","Создание заказа с разными цветами","tests","2026-03-06","passed","2026-03-06","TestOrderCreate","test_orders","",""
"","1","Успешное создание курьера","tests","2026-03-06","passed","2026-03-06","TestCourierCreate","test_courier","",""
"","1","Создание заказа с разными цветами","tests","2026-03-06","passed","2026-03-06","TestOrderCreate","test_orders","",""
"","441","Создание без обязательных полей","tests","2026-03-06","skipped","2026-03-06","TestOrderCreate","test_orders","",""
"","440","Создание без логина","tests","2026-03-06","passed","2026-03-06","TestCourierCreate","test_courier","",""
"","60410","Отсутствует пароль","tests","2026-03-06","skipped","2026-03-06","TestCourierLogin","test_courier","",""
"","425","Отсутствует логин","tests","2026-03-06","passed","2026-03-06","TestCourierLogin","test_courier","",""
"","1","Создание заказа с разными цветами","tests","2026-03-06","passed","2026-03-06","TestOrderCreate","test_orders","",""
"","11513","Проверка пагинации (limit, page)","tests","2026-03-06","passed","2026-03-06","TestOrderList","test_orders","",""
"","485","Создание без обязательных полей","tests","2026-03-06","skipped","2026-03-06","TestOrderCreate","test_orders","",""
"","468","Создание без имени","tests","2026-03-06","passed","2026-03-06","TestCourierCreate","test_courier","",""
"","444","Создание без пароля","tests","2026-03-06","passed","2026-03-06","TestCourierCreate","test_courier","",""
"","488","Несуществующий пользователь","tests","2026-03-06","passed","2026-03-06","TestCourierLogin","test_courier","",""
"","10777","Проверка структуры ответа","tests","2026-03-06","passed","2026-03-06","TestOrderList","test_orders","",""
"","12313","Получение списка заказов","tests","2026-03-06","passed","2026-03-06","TestOrderList","test_orders","",""
"","484","Принятие с несуществующим курьером","tests","2026-03-06","passed","2026-03-06","TestOrderAccept","test_orders","",""
"","456","Создание без обязательных полей","tests","2026-03-06","skipped","2026-03-06","TestOrderCreate","test_orders","",""
"","490","Удаление с несуществующим id","tests","2026-03-06","passed","2026-03-06","TestCourierDelete","test_courier","",""
"","902","После удаления курьер не может авторизоваться","tests","2026-03-06","passed","2026-03-06","TestCourierDelete","test_courier","",""
"","432","Дубликат логина","tests","2026-03-06","passed","2026-03-06","TestCourierCreate","test_courier","",""
"","450","Отмена несуществующего заказа","tests","2026-03-06","passed","2026-03-06","TestOrderCancel","test_orders","",""
"","512","Успешное принятие заказа","tests","2026-03-06","passed","2026-03-06","TestOrderAccept","test_orders","",""
"","509","Получение заказа по треку","tests","2026-03-06","passed","2026-03-06","TestOrderByTrack","test_orders","",""
"","0","Проверка наличия track в ответе","tests","2026-03-06","passed","2026-03-06","TestOrderCreate","test_orders","",""
"","476","Запрос с несуществующим треком","tests","2026-03-06","passed","2026-03-06","TestOrderByTrack","test_orders","",""
"","445","Создание без обязательных полей","tests","2026-03-06","skipped","2026-03-06","TestOrderCreate","test_orders","",""
